ITComponentId,__v,_id,anomalyTimestamp,metric,feedback,infrastructure,issue,rootCauseAnomalyTimestamp,rootCauseAnomalyType,rootCauseFeedback,rootCauseSignificant,significant,updatedAt,count_affectedITComponentIds,count_anomalies,count_correlatedITComponentIds,count_masterTopologyComponents,duration,issue_id,is_positive_feedback,component_type,metric_no_subject,absolute_delta,scaled_absolute_delta
consul_consul-server,0,61c2ff2f9180fc161a38963c,1640091610000,docker#diskio#summary#service_time-no_subject,No business impact,6040a96cdcc614001153fc55,61c1d058af0b5f4876de3f97,1640091610000.0,docker#diskio#summary#ops-no_subject,,False,False,2021-12-22T10:34:29.766Z,1,4,4,6548,0.0,61c1d058af0b5f4876de3f97,False,service,docker#diskio#summary#service_time,436088478903.2637,0.6783393270272765
pythonpost-processing_post-processing-worker,0,61c2ff5e9180fc161a389b02,1640097370000,docker#memory#usage#pct-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61c1e6c0af0b5f52a6de4110,,,,,False,2021-12-22T10:35:12.393Z,2,6,4,6522,50.0,61c1e6c0af0b5f52a6de4110,False,service,docker#memory#usage#pct,0.0001846940266534,0.017934557487338576
linux609bde4db677860011c6e30b,0,61d460c89180fc161a27e8ad,1640503630000,system#diskio#iostat#busy-vda,Not an anomaly,6040a96cdcc614001153fc55,61c81848af0b5f4b08de8941,,,,,False,2022-01-04T14:59:21.859Z,1,4,8,6770,120.0,61c81848af0b5f4b08de8941,False,host,system#diskio#iostat#busy,25.1220516701025,1.0
linux609bde4db677860011c6e30b,0,61d460d39180fc161a27ea7b,1640579590000,system#diskio#iostat#busy-vda,Not an anomaly,6040a96cdcc614001153fc55,61c940f2af0b5fae29de8d9e,,,,,False,2022-01-04T14:59:33.535Z,1,2,8,6770,0.0,61c940f2af0b5fae29de8d9e,False,host,system#diskio#iostat#busy,13.71258710107221,0.5458386632247644
nodereservation_reservation-tasks,0,61d460f19180fc161a27ede2,1640584490000,docker#memory#usage#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61c95574af0b5fe675de8da4,,,,,False,2022-01-04T15:00:02.356Z,1,1,4,5421,0.0,61c95574af0b5fe675de8da4,False,service,docker#memory#usage#total,303951.0856521188,0.07229872543191676
nginxappsmith_appsmith-nginx,0,61d461139180fc161a27f272,1640705200000,docker#memory#usage#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61cb2cfaaf0b5f6520de8e14,,,,,False,2022-01-04T15:00:36.988Z,1,1,4,6771,0.0,61cb2cfaaf0b5f6520de8e14,False,service,docker#memory#usage#total,249282.55999999997,0.059295104413717964
nodeportal_portal,0,61d461829180fc161a280010,1640711370000,docker#memory#usage#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61cb4519af0b5f5ec7de8e17,,,,,False,2022-01-04T15:02:28.063Z,2,2,4,6771,0.0,61cb4519af0b5f5ec7de8e17,False,service,docker#memory#usage#total,4204100.19452345,1.0
nodeportal_portal,0,61d461879180fc161a2800cb,1640767710000,docker#memory#usage#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61cc2133af0b5f5003de8e36,,,,,False,2022-01-04T15:02:33.000Z,1,1,4,6771,0.0,61cc2133af0b5f5003de8e36,False,service,docker#memory#usage#total,0.0,0.0
linux61c35323a137b10130daf3ad,0,61d461d69180fc161a280bda,1641216830000,system#memory#actual#used#pct-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61d2fb87af0b5f307bde915e,,,,,False,2022-01-04T15:03:53.477Z,1,2,31,6791,60.0,61d2fb87af0b5f307bde915e,False,host,system#memory#actual#used#pct,0.0,0.0
nodesensor-service_sensor-service,0,61d461ec9180fc161a280e77,1641227130000,docker#memory#usage#pct-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61d323dbaf0b5f42b2de9183,,,,,False,2022-01-04T15:04:15.182Z,1,3,4,6771,60.0,61d323dbaf0b5f42b2de9183,False,service,docker#memory#usage#pct,0.0,0.0
linux609bdf19b677860011c6e30e,0,61d461f39180fc161a280f26,1641234690000,system#diskio#iostat#busy-sda,Not an anomaly,6040a96cdcc614001153fc55,61d3415eaf0b5fe580de919c,,,,,False,2022-01-04T15:04:21.061Z,1,4,11,6751,60.0,61d3415eaf0b5fe580de919c,False,host,system#diskio#iostat#busy,7.443573817863474,0.2962964138284134
portainer_agent,0,61d461f99180fc161a281033,1641290370000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61d41accaf0b5f80d6de91b9,,,,,False,2022-01-04T15:04:26.503Z,1,1,4,6771,0.0,61d41accaf0b5f80d6de91b9,False,service,docker#memory#rss#total,0.0,0.0
apachegaia_scripts,0,61d461fe9180fc161a281100,1641292390000,docker#memory#usage#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61d422baaf0b5f1dd8de91bc,,,,,False,2022-01-04T15:04:32.121Z,1,1,4,6771,0.0,61d422baaf0b5f1dd8de91bc,False,service,docker#memory#usage#total,618.951111111111,0.0001472255851364816
nodereservations-service_reservations-service,0,61d462049180fc161a281212,1641292970000,docker#memory#usage#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61d424f4af0b5fd23bde91be,,,,,False,2022-01-04T15:04:37.909Z,1,2,4,6771,120.0,61d424f4af0b5fd23bde91be,False,service,docker#memory#usage#total,3322402.9835745143,0.7902768321036936
linux61c32232a137b10130daf2e1,0,61d462169180fc161a281466,1641303910000,system#cpu#user#norm#pct-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61d45c93af0b5f0a95de91f3,,,,,False,2022-01-04T15:04:55.894Z,1,3,32,6768,0.0,61d45c93af0b5f0a95de91f3,False,host,system#cpu#user#norm#pct,0.0091482569500957,0.0
